,rating,review_title,review_content
0,4,Value-for-money,"Software was a bit buggy (FIXED After update)

Light usage phone

Keeps up with day-to-day tasks

Battery life's been great so far (4days)

Camera is actually better than my poco F5

Performance is as expected

Love the design

Also the blue color has a nice grip

Only downside IN MY OPINION is it it would be a flat display and the cost is a lot to replace

Also it can play MAX 1440p videos with stuttering in 4k
Good enough for price tho

Other than that it's a decent phone (I gave it to m...
READ MORE"
1,5,Mind-blowing purchase,Best in price range good camera good display overall good product
2,4,Must buy!,"Here is my review

Flipkart is charging 59 rs for secured packing but they did worst packaging they send the mobile in small box without bubble wrap or any protection

. All features of mobile is good

.battery backup is good but it take 1.30 hour to complete charge which is quite long but can be accepted

.photo quality in daytime at natural sunlight is good by choosing 50 mp camera option
Indoor camera quality is average

.phone look premium curved display is good fingerprint scanner is f...
READ MORE"
3,5,Wonderful,"I am first time using Moto Brand. But trust me It is very good Phone. display is awesome.
Overall best mobile in this segment"
4,4,Really Nice,All is perfect in this price yet
5,5,Highly recommended,Superb mobile and delivered in one day. Must buy olive green colour
6,4,Very Good,"The vegan leather and curved display in this price segment is really awesome
Superb design"
7,5,Super!,"Camera 5/5
Display 5/5
Performance 3/5
Battery+charger 4/5

Overall 4.5/5."
8,5,Brilliant,Initial impression very good. Just got the phone. I will further review after one week.
9,5,Super!,Camera quality super ğŸ˜â¤ï¸ğŸ’š
10,5,Highly recommended,Display is very good
11,5,Best in the market!,I bought myself. This is really good ğŸ‘. Moto is good working for mobile. Thank you Flipkart for good delivery.
12,5,Brilliant,"Under 18k best phone.......
Camera ğŸ“¸ Good ..
Display quality Osm...
All good this phone"
13,5,Just wow!,"Attractive product, camera and display wonderful performance
Great choice this price range, mintflowying performance all departments thanks moto and Flipkart"
14,5,Highly recommended,"Very good phone!
I received this phone today"
15,5,Excellent,"The phone is awesome and outstanding but Instead I would like to highlight some features that the phone lacks.

1st there is no inbuilt app lock.
2nd is there is no feature to show real time network speed or Internet speed.

3rd feature it lacks is auto switching 5G to 4G and vice versa.
Let's see what they do in upcoming updates. Fingers crossed.

If you are okay with it
Then go ahead."
16,5,Super!,Jio sim support properly such a awesome phone it is... Go for it... Hallo moto.. in this budget dhamaka phone nice colour jst wow...... So much happy
17,5,Perfect product!,"At this price range, the overall experience with this mobile is excellent.
Camera - 09/10
Battery - 09/10
Display - 10/10
Design - 10/10
Performance - 09/10
Clean UI experience, some unnecessary apps are there but the good thing is you can remove them if you want to. From my POV this is the best midrange phone for daily usage or for the students, go for it. Thanks to Motorola and Flipkart."
18,4,Pretty good,"Camera ğŸ“¸ good
Digine-good
Battery -one day full use
Overall in this price ğŸ™ğŸ™ good product go for it."
19,5,Just wow!,"This phone is looking just wow ğŸ˜³ğŸ˜³
Camera quality is super..
Display also good.."
20,4,Value-for-money,"Received this phone a week back.So far so good. Didnt get to test the camera extensively yet due to weather conditions not being favourable but as much as i have tested,looks promising. UI is clean except for some bloatwares which had to be manually uninstalled but thats fine. Only thing im missing in this phone is a dedicated gallery and a dialer app instead of the google apps the phone comes with. Nonetheless, solid phone for day to day basic usage(PS. i dont do gaming so the 6s gen3/695 is...
READ MORE"
21,5,Brilliant,"Phone is awesome, classy look and it's slim phone
Perfect body finish
Battery and camera is also good in this price range

Perfect phone im this price range
I already booked another one ğŸ’â¤ï¸

Don't think twice
Go for it"
22,5,Terrific,good ğŸ‘
23,5,Worth every penny,"Great phone with excellent camera and display quality. Battery life is average,
but my only major complaint is the absence of IP68 water and dust resistance. Otherwise, it's a top-notch device at this price pointğŸ‘ğŸ»."
24,5,Wonderful,No 1 moto phone and good performance I love itğŸ¥°ğŸ¥°
25,5,Worth every penny,The product is simply awesome ğŸ‘ ğŸ‘ completely satisfied with the product
26,4,Wonderful,".5x camera is not got as 1x
Impressive look ekdum top notch. Excellent ğŸ‘Œ
Performance good ğŸ‘
Display best âœ…
Battery excellent ğŸ‘Œ
Camera best âœ… 0.5x worst âŒ
Overall 4.4 rating â­â­â­â­.ğŸ’«"
27,5,Great product,"Wow very fast 2 days expresss delivery.ğŸ‘ Just recieved my Moto G85, first impression is like I will have to compromise with the design and color of the mobile. Avoid ordering urban gray color.ğŸ‘
I will update review after using it.ğŸ˜Š"
28,4,Pretty good,"Awesome phone in this budget ,specially the OLED display."
29,4,Wonderful,Good budget good product ğŸ¤—ğŸ¥³very nice features
30,5,Worth every penny,"First Impressions: A Pleasant SurpriseMy initial experience with this mobile was highly positive. Both the front and rear cameras impressed me with their quality. There are no unnecessary apps cluttering the interface, giving it a clean, stock Android feel. The device operates smoothly, making it ideal for anyone seeking a mobile for photography and regular use. If camera performance and user-friendly operation are your priorities, this mobile is definitely worth considering."
31,5,Simply awesome,"Every thing was too good..ğŸ‘ŒğŸ»in this price segment this set is truly a gemğŸ’ must buy it..
What things I liked most
CamerağŸ’¯
SlimğŸ’¯
Hd displayğŸ’¯
Heptic experienceğŸ’¯
Internal featuresğŸ’¯
..
I got this mobile on 23july and today is 26july and till now I can't found any discomfort or issue.."
32,5,Fabulous!,"Phon with awesome Cemara quality, curve display and Slim body
Thanks moto for this model"
33,5,Must buy!,"Decent device, Really awesome"
34,5,Brilliant,Under 20K Best phone âœ³ï¸âœ³ï¸âœ³ï¸âœ³ï¸âœ³ï¸
35,5,Awesome,"Excellent choice for you.
Just go for it

Display : Best
Battery : Very good
Software : Clean Android

Everything is fine, don't think twice."
36,5,Fabulous!,"It's the best in this price range .. the display is excellent especially the edge display. The ui is smooth and effective no glitches observed. The battery is good and not draining so fast. If you are a normal user it will last long for a day and half for sure . And the Moto battery features are nice and help better to increase the battery life. And the Moto secure and Moto display features are best. Only con is that it won't support 4k recording and playing but that's okay if you are a regul...
READ MORE"
37,5,Must buy!,Awesome
38,5,Simply awesome,Good product for this price.
39,4,Good quality product,Nice camera and jio sim also support
